date,value
2018-11-03,490
2018-11-04,470
2018-11-05,333
2018-11-06,330
2018-11-07,324
2018-11-08,408
2018-11-09,503
2018-11-10,552
2018-11-11,446
2018-11-12,344
2018-11-13,398
2018-11-14,394
2018-11-15,324
2018-11-16,419
2018-11-17,506
2018-11-18,459
2018-11-19,289
2018-11-20,359
2018-11-21,372
2018-11-22,401
2018-11-23,424
2018-11-24,474
2018-11-25,450
2018-11-26,296
2018-11-27,376
2018-11-28,366
2018-11-29,358
2018-11-30,405
2018-12-01,434
2018-12-02,445
2018-12-03,260
2018-12-04,359
2018-12-05,340
2018-12-06,327
2018-12-07,295
2018-12-08,360
2018-12-09,368
2018-12-10,240
2018-12-11,311
2018-12-12,309
2018-12-13,329
2018-12-14,376
2018-12-15,490
2018-12-16,416
2018-12-17,235
2018-12-18,293
2018-12-19,305
2018-12-20,354
2018-12-21,456
2018-12-22,465
2018-12-23,342
2018-12-24,186
2018-12-25,279
2018-12-26,259
2018-12-27,279
2018-12-28,263
2018-12-29,313
2018-12-30,246
2018-12-31,183
2019-01-01,223
2019-01-02,149
2019-01-03,232
2019-01-04,228
2019-01-05,312
2019-01-06,288
2019-01-07,192
2019-01-08,209
2019-01-09,249
2019-01-10,230
2019-01-11,315
2019-01-12,371
2019-01-13,341
2019-01-14,177
2019-01-15,217
2019-01-16,254
2019-01-17,251
2019-01-18,258
2019-01-19,340
2019-01-20,314
2019-01-21,185
2019-01-22,235
2019-01-23,245
2019-01-24,274
2019-01-25,242
2019-01-26,344
2019-01-27,297
2019-01-28,200
2019-01-29,256
2019-01-30,283
2019-01-31,276
2019-02-01,330
2019-02-02,385
2019-02-03,303
2019-02-04,245
2019-02-05,180
2019-02-06,205
2019-02-07,196
2019-02-08,249
2019-02-09,317
2019-02-10,277
2019-02-11,221
2019-02-12,277
2019-02-13,260
2019-02-14,297
2019-02-15,280
2019-02-16,361
2019-02-17,352
2019-02-18,233
2019-02-19,306
2019-02-20,296
2019-02-21,264
2019-02-22,313
2019-02-23,363
2019-02-24,357
